category,a,b,c
Permanent Traffic Signals/Road Crossings,Traffic Lights,Road Safety,Road Safety & Defects
Gritting Request,Gritting,Gritting,Road Safety & Defects
Gully or Manhole Defect,Gully/Manhole Defects,Drainage,Environmental Health
Restrict off-road access,Vehicle Access,Right of Way,Access
Street Cleaning,Street Cleaning,Rubbish,Environmental Health
Overhanging Vegetation,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Road Safety,Road Safety,Road Safety,Road Safety & Defects
Hazardous spillage on road,Spillage on Road,Rubbish,Environmental Health
Grass Verges & Weeds,Grass/Weed Control,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Engine idling,Other,Other,Other
Visibility Issue,Other,Other,Other
Public Toilets,Public Toilets,Public Toilets,Access
Missing Ironwork,Manhole Covers,Drainage,Environmental Health
Recycling - Missed Collection,Missed Bin Collection,Rubbish,Environmental Health
Lit signs & bollards,Barriers/Bollards on RoW,Road Safety,Road Safety & Defects
Long Grass NonHazard,Grass/Weed Control,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Access to a Countryside Pathway,Countryside RoW,Right of Way,Access
Dedication Plaque,Other,Other,Other
Tree Or Shrub on a verge or open space,Fallen/Dangerous Trees,Open Spaces/Parks,Public Space
Flytipping (deleted),Fly-tipping,Rubbish,Environmental Health
Footway Defect on a road or footway,Pavement /Footway Defects,Right of Way,Access
Fault on public right of way,Right of Way,Right of Way,Access
Food Safety - Food Rating Standards,Other,Other,Other
Faded road markings,Road Markings,Road Safety,Road Safety & Defects
Road surface issue,Road Surface Defects,Road Surface Defects,Road Safety & Defects
Damage - smashed glass or panels / jagged metal edges on shelter,Bus Stops Damage,Bus Stops Damage,Environmental Disruptions
Trees and woodland,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Footway Flood Hazardous,Flooding,Drainage,Environmental Health
Damaged Telecomms cabinet,Street Furniture,Street Furniture,Public Space
Public rights of way,Right of Way,Right of Way,Access
Pavement Overcrowding,Pavement /Footway Defects,Pavement /Footway Defects,Road Safety & Defects
Footway Flood Non Hazardous,Flooding,Drainage,Environmental Health
Unauthorised signs,Flyposting,Incivilities,Incivilities
Dead animal in the carriageway or footway,Dead Animals,Environmental Health,Environmental Health
Faulty street sign,Street Signs,Road Safety,Road Safety & Defects
Parking/ congestion,Parking,Parking,Abandoned Vehicles & Parking
Manhole,Manhole Covers,Drainage,Environmental Health
"Traffic lights & crossings problems with buttons, beep or lamps",Traffic Lights,Road Safety,Road Safety & Defects
Dog Waste Bin on a verge or open space,Dog Litter Bin,Bin Replacement,Environmental Health
General Enquiry/Complaints,General Highways Enquiries,Highways Enquiries,Road Safety & Defects
Alleyway,Other,Other,Other
Hedge causing obstruction,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Flyposting (not by roadside),Flyposting,Incivilities,Incivilities
Admin,Admin,Other,Other
Rights of way,Right of Way,Right of Way,Access
Footpaths / Carriageway,Right of Way,Right of Way,Access
Signal Head Failure,Street Signs,Road Safety,Road Safety & Defects
Dropped kerb - Illegal,Pavement /Footway Defects,Road Safety,Road Safety & Defects
Uneven Flags,Broken Kerbs,Other,Environmental Disruptions
Pedestrian wait button not working,Pavement /Footway Defects,Street Furniture,Road Safety & Defects
Grafitti,Graffiti,Incivilities,Incivilities
Manhole Cover - Missing,Manhole Covers,Drainage,Environmental Health
Box/Planters Enquiry,Street Furniture,Overgrown/Fallen Veg/Trees,Road Safety & Defects
Public footpath or cyclepath,Right of Way,Right of Way,Access
Vehicle Access (Assets),Vehicle Access,Right of Way,Access
Damage to litter bin,Bin Repair/Replacement,Bin Replacement,Environmental Health
Street Furniture,Street Furniture,Street Furniture,Environmental Disruptions
Abandoned Vehicles,Abandoned Vehicles,Abandoned Vehicles,Abandoned Vehicles & Parking
Drainage Structure: Blockage,Blocked Drains,Drainage,Environmental Health
Footway or Footpath,Right of Way,Right of Way,Access
Damaged Control box,Road Works,Grounds Maintenance,Road Safety & Defects
Road signage,Street Signs,Road Safety,Road Safety & Defects
Trade Waste Issue,Trade Waste,Rubbish,Environmental Health
Utlility Covers,Utility Works,Utility Works,Environmental Disruptions
Lamp out (traffic lights),Traffic Lights,Road Safety,Road Safety & Defects
Empty Bin,Bin Repair/Replacement,Bin Replacement,Environmental Health
Road or pavement obstruction,Road/Pavement Defects,Road Surface Defects,Road Safety & Defects
Roads and pavement surfaces - Road pothole,Potholes,Road Surface Defects,Road Safety & Defects
Single Light out (street light),Street Lights,Street Lights,Road Safety & Defects
Bridge-Damaged/ Missing,Bridge/Culvert Defects,Bridge/Culvert Defects,Environmental Disruptions
Flytipping,Fly-tipping,Rubbish,Environmental Health
Trees (on sites owned by Three Rivers District Council),Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Blocked or damaged drain,Blocked Drains,Drainage,Environmental Health
Abandoned car,Abandoned Vehicles,Abandoned Vehicles,Abandoned Vehicles & Parking
Play Equipment,Open Spaces/Parks,Open Spaces/Parks,Public Space
Scaffolding blocking carriageway or footway,Other,Other,Other
Road surface,Road Surface Defects,Road Surface Defects,Road Safety & Defects
Parks and playgrounds,Open Spaces/Parks,Open Spaces/Parks,Public Space
Crossing not working,Street Signs,Road Safety,Road Safety & Defects
Speed Limit Signs,Street Signs,Street Furniture,Road Safety & Defects
Timings,Traffic Lights,Road Safety,Road Safety & Defects
Damage - seating in shelter,Bus Stops Damage,Bus Stops Damage,Environmental Disruptions
Festive Decoration Damaged,Other,Other,Other
Pavement Condition,Pavement /Footway Defects,Pavement /Footway Defects,Road Safety & Defects
Potholes (large),Potholes,Road Surface Defects,Road Safety & Defects
Syringes,Discarded Syringes,Rubbish,Environmental Health
Utility Issue,Utility Works,Utility Works,Environmental Disruptions
Carriageway Manhole Covers,Manhole Covers,Drainage,Environmental Health
Swaying trees,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Ice,Ice & Snow,Gritting,Road Safety & Defects
Abandoned bike,Abandoned Vehicles,Abandoned Vehicles,Abandoned Vehicles & Parking
Streetspace Suggestions and Feedback,Other,Other,Other
Drainage or Flooding on a public right o,Blocked Drains,Drainage,Environmental Health
Other Grass Cutting Issues,Grass/Weed Control,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Broken Fire Hydrant Covers,Broken Fire Hydrant,Other,Environmental Disruptions
Obstructive vegetation,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Grit Bin - damaged/replacement,Grit Bins,Gritting,Road Safety & Defects
Drain or Gully,Blocked Drains,Drainage,Environmental Health
Belisha Beacon Malfunction,Pavement /Footway Defects,Right of Way,Access
Subway light,Bridge/Culvert Defects,Bridge/Culvert Defects,Environmental Disruptions
Carriageway Flood NonHazard,Road Surface Defects,Road Surface Defects,Road Safety & Defects
Trees (on the highway verge),Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Litter bin damaged,Litter/Litter Bin,Rubbish,Environmental Health
Fly tipping - Enforcement Request,Fly-tipping,Rubbish,Environmental Health
Play Area,Open Spaces/Parks,Open Spaces/Parks,Public Space
Illegal encampments,Other,Other,Other
Wildlife Verges,Grass/Weed Control,Overgrown/Fallen Veg/Trees,Environmental Disruptions
"Street lighting (parks, car parks and open spaces)",Street Lights,Street Lights,Road Safety & Defects
Sign Missing/Knocked Down,Street Signs,Road Safety,Road Safety & Defects
Highways Drainage,Highway Drainage,Drainage,Environmental Health
Street sign,Street Signs,Road Safety,Road Safety & Defects
Litter bins,Bin Repair/Replacement,Bin Replacement,Environmental Health
Dog fouling,Dog Fouling,Dog Fouling,Environmental Health
Road Markings/Studs Non-Comp,Road Markings,Road Safety,Road Safety & Defects
Public tree requires pruning,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Road Surface,Road Surface Defects,,Road Safety & Defects
Emergency - Fallen branch,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Road Safety & Defects
Potholes (smaller than 30cm by 4cm),Potholes,Road Surface Defects,Road Safety & Defects
Spillage on the road,Spillage on Road,Rubbish,Environmental Health
General Maintenance and pruning,General Highways Enquiries,Highways Enquiries,Road Safety & Defects
Fences and Walls,Flooding,Drainage,Environmental Health
Car Park Barrier / Equipment,Parking,Parking,Abandoned Vehicles & Parking
Playing Fields,Open Spaces/Parks,Open Spaces/Parks,Public Space
Sign light not working,Road Markings,Road Safety,Road Safety & Defects
Litter bin,Litter/Litter Bin,Rubbish,Environmental Health
Trip Hazard,Trip Hazard,Rubbish,Environmental Health
Footpaths/ Rights of way (usually not tarmac),Right of Way,Right of Way,Access
Damaged street name plates,Street Name Plates,Street Furniture,Environmental Disruptions
Car Park Machine Not Working,Parking,Parking,Abandoned Vehicles & Parking
Street weeds,Grass/Weed Control,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Blocked gully,Blocked Drains,Drainage,Environmental Health
unlit bollard knockdown/ missing (hazardous),Street Furniture,Street Furniture,Road Safety & Defects
Inspection Covers,Manhole Covers,Drainage,Environmental Health
Street light not working,Street Lights,Street Lights,Road Safety & Defects
Traffic Signals Not Working,Traffic Lights,Road Safety,Road Safety & Defects
Disagree/ agree with the completed works installed,Other,Other,Other
Fly-tipping,Fly-tipping,Rubbish,Environmental Health
Column/Post: Paintwork Damage,Street Furniture,Street Furniture,Road Safety & Defects
Manhole / Drain cover,Manhole Covers,Drainage,Environmental Health
Litter Bins Full/Damaged/Missing,Litter/Litter Bin,Rubbish,Environmental Health
Damaged street nameplate,Street Name Plates,Street Furniture,Environmental Disruptions
Shelter needs cleaning (hazardous waste),Bus Stops Damage,Bus Stops Damage,Environmental Disruptions
Hedge Untrimmed,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Accumulated Litter,Accumulated Litter,Rubbish,Environmental Health
Abandoned vehicle,Abandoned Vehicles,Abandoned Vehicles,Abandoned Vehicles & Parking
Parking Bays,Parking,Parking,Abandoned Vehicles & Parking
Trip hazard,Trip Hazard,Rubbish,Environmental Health
Belisha Beacon broken,Pavement /Footway Defects,Right of Way,Access
Bollards or railings,Street Signs,Road Safety,Road Safety & Defects
Light in outside car park,Street Lights,Street Lights,Road Safety & Defects
Trees/Hedges Overhanging Roads Or Footpa,Overgrown Vegetation,Right of Way,Access
Street nameplate damaged/missing,Street Name Plates,Street Furniture,Environmental Disruptions
Trees (Urban Areas),Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Grass damage/destroy/disease,Grass/Weed Control,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Damage By Tree to 3rd Party,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Damaged or missing utility cover,Road Works,Grounds Maintenance,Road Safety & Defects
Graffiti (Offensive),Graffiti,Incivilities,Incivilities
Roads/Highways,Highway Condition,Highways Enquiries,Road Safety & Defects
Blocked drains,Blocked Drains,Drainage,Environmental Health
Snow and ice problem/winter salting,Ice & Snow,Gritting,Road Safety & Defects
Trees or Vegetation,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Street nameplates,Street Name Plates,Street Furniture,Environmental Disruptions
Crossing running with no pedestrians,Street Signs,Road Safety,Road Safety & Defects
"Trees in parks, commons and open  spaces",Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
